================================================================================
  ASDSL Framework — Phi-4 Multimodal Instruct Integration Results
  Model:  microsoft/Phi-4-multimodal-instruct
  Date:   2026-03-07 06:23:34
  Runtime: 48.2 minutes
================================================================================

Unit Tests: 66 passed, 0 failed
L17.o_proj                                                 7.8x     19.2  0.36079     No       17.00
L17.qkv_proj                                               7.8x     19.1  0.33023     No       19.53
L18.down_proj                                              7.8x     19.0  0.86719     No       23.67
L18.gate_up_proj                                           7.8x     19.1  0.64882     No        6.69
L18.o_proj                                                 7.8x     19.2 -0.33089     No        6.54
L18.qkv_proj                                               7.8x     19.1 -0.32599     No        8.89
L19.down_proj                                              7.8x     19.0  0.56267     No       20.37
L19.gate_up_proj                                           7.8x     19.2  0.58779     No        8.61
L19.o_proj                                                 7.8x     19.2 -0.20542     No       15.01
L19.qkv_proj                                               7.8x     19.0 -0.24992     No        6.90
L2.down_proj                                               7.8x     19.1  0.68152     No       25.68
L2.gate_up_proj                                            7.8x     19.1 -0.06313     No        7.78
L2.o_proj                                                  7.8x     19.1  0.87494     No       12.78
L2.qkv_proj                                                7.8x     18.8  0.57558     No       13.90
L20.down_proj                                              7.8x     19.0  0.91931     No       17.81
L20.gate_up_proj                                           7.8x     19.2 -0.11293     No        8.88
L20.o_proj                                                 7.8x     19.2  0.79480     No       12.47
L20.qkv_proj                                               7.8x     19.1  0.57676     No       11.31
L21.down_proj                                              7.8x     19.1  0.80126     No       32.53
L21.gate_up_proj                                           7.8x     19.2  0.72673     No        7.39
L21.o_proj                                                 7.8x     19.2  0.22298     No        8.74
L21.qkv_proj                                               7.8x     19.1  0.62754     No        9.44
L22.down_proj                                              7.8x     19.1  0.92114     No       28.31
L22.gate_up_proj                                           7.8x     19.2 -0.27862     No       10.40
L22.o_proj                                                 7.8x     19.2  0.59878     No       11.73
L22.qkv_proj                                               7.8x     19.0 -0.10076     No        6.91
L23.down_proj                                              7.8x     19.2  0.93113     No       20.21
L23.gate_up_proj                                           7.8x     19.2  0.64980     No        8.60
L23.o_proj                                                 7.8x     19.2  0.60745     No        7.05
L23.qkv_proj                                               7.8x     19.0  0.56056     No        6.72
L24.down_proj                                              7.8x     19.2  0.46900     No       26.08
L24.gate_up_proj                                           7.8x     19.2 -0.08030     No        7.15
L24.o_proj                                                 7.8x     19.2  0.80871     No        6.98
L24.qkv_proj                                               7.8x     19.0  0.80890     No       12.91
L25.down_proj                                              7.8x     19.2  0.14905     No       32.25
L25.gate_up_proj                                           7.8x     19.2 -0.13705     No       13.73
L25.o_proj                                                 7.8x     19.2 -0.38480     No       19.43
L25.qkv_proj                                               7.8x     19.0  0.96174     No        6.58
L26.down_proj                                              7.8x     19.2  0.67802     No       16.93
L26.gate_up_proj                                           7.8x     19.2 -0.67267     No        7.08
L26.o_proj                                                 7.8x     19.2  0.91455     No       13.56
L26.qkv_proj                                               7.8x     19.0  0.73637     No        6.85
L27.down_proj                                              7.8x     19.1  0.84648     No       43.19
L27.gate_up_proj                                           7.8x     19.2  0.02176     No        7.03
L27.o_proj                                                 7.8x     19.2  0.66017     No        8.83
L27.qkv_proj                                               7.8x     19.0  0.41249     No       10.20
L28.down_proj                                              7.8x     19.1  0.84622     No       51.02
L28.gate_up_proj                                           7.8x     19.1  0.71225     No       13.81
L28.o_proj                                                 7.8x     19.2  0.40225     No        7.18
L28.qkv_proj                                               7.8x     19.0 -0.07099     No        6.76
L29.down_proj                                              7.8x     18.9  0.95060     No       19.31
L29.gate_up_proj                                           7.8x     19.0  0.54997     No        7.20
L29.o_proj                                                 7.8x     19.2  0.16143     No       13.01
L29.qkv_proj                                               7.8x     19.0  0.63050     No       11.74
L3.down_proj                                               7.8x     19.0  0.31539     No       19.91
L3.gate_up_proj                                            7.8x     19.1  0.89672     No        6.05
L3.o_proj                                                  7.8x     19.1 -0.75974     No       11.83
L3.qkv_proj                                                7.8x     18.9  0.66392     No        9.91
L30.down_proj                                              7.8x     18.7  0.75816     No       18.44
L30.gate_up_proj                                           7.8x     19.1 -0.24753     No        7.71
L30.o_proj                                                 7.8x     19.2  0.29447     No        9.22
L30.qkv_proj                                               7.8x     18.8 -0.07326     No        8.98
L31.down_proj                                              7.8x     18.1  0.48176     No       18.89
L31.gate_up_proj                                           7.8x     19.2 -0.09675     No       14.24
L31.o_proj                                                 7.8x     19.2  0.21940     No       14.23
L31.qkv_proj                                               7.8x     18.6  0.56329     No        6.94
L4.down_proj                                               7.8x     19.1  0.77021     No       31.13
L4.gate_up_proj                                            7.8x     19.1  0.68826     No       17.99
L4.o_proj                                                  7.8x     19.2  0.14477     No       11.74
L4.qkv_proj                                                7.8x     19.1  0.42812     No        6.55
L5.down_proj                                               7.8x     19.1  0.83069     No       27.21
L5.gate_up_proj                                            7.8x     19.1  0.65484     No        7.02
L5.o_proj                                                  7.8x     19.1  0.72061     No       16.07
L5.qkv_proj                                                7.8x     19.1  0.25703     No       20.52
L6.down_proj                                               7.8x     19.0  0.85701     No       20.77
L6.gate_up_proj                                            7.8x     19.1  0.29010     No        7.32
L6.o_proj                                                  7.8x     19.1  0.59640     No       20.61
L6.qkv_proj                                                7.8x     19.0  0.12737     No       12.30
L7.down_proj                                               7.8x     19.0  0.64979     No       45.17
L7.gate_up_proj                                            7.8x     19.1 -0.21596     No       17.51
L7.o_proj                                                  7.8x     19.2  0.21798     No        5.54
L7.qkv_proj                                                7.8x     19.0  0.26890     No        9.38
L8.down_proj                                               7.8x     19.0  0.30159     No       17.74
L8.gate_up_proj                                            7.8x     19.1  0.55250     No        6.86
L8.o_proj                                                  7.8x     19.2  0.63445     No        6.87
L8.qkv_proj                                                7.8x     19.1 -0.38510     No        5.81
L9.down_proj                                               7.8x     19.0  0.86747     No       53.10
L9.gate_up_proj                                            7.8x     19.1 -0.84981     No        8.15
L9.o_proj                                                  7.8x     19.2  0.74714     No       20.90
L9.qkv_proj                                                7.8x     19.1 -0.11813     No        6.09

                                                  AVERAGE    7.8x     19.1  0.39080

── 3-bit quantization ──────────────────────────────────────────
Layer                                                    Ratio  SNR(dB)   Cosine  LUT-L2 LUT-mv(ms)
---------------------------------------------------------------------------------------------------
L0.down_proj                                              10.2x     12.3  0.87824     No       28.12
L0.gate_up_proj                                           10.2x     12.5  0.76080     No        8.96
L0.o_proj                                                 10.2x     12.5  0.76952     No       16.42
L0.qkv_proj                                               10.2x     10.1 -0.24868     No        9.42
L1.down_proj                                              10.2x     12.4  0.28633     No       33.81
L1.gate_up_proj                                           10.2x     12.5  0.74752     No       28.99
L1.o_proj                                                 10.2x     12.4  0.67087     No       10.31
L1.qkv_proj                                               10.2x     12.2  0.01941     No       10.19
L10.down_proj                                             10.2x     12.4  0.79865     No       23.66
L10.gate_up_proj                                          10.2x     12.5 -0.05038     No       15.83
L10.o_proj                                                10.2x     12.6 -0.22722     No       13.74
L10.qkv_proj                                              10.2x     12.5 -0.37306     No        8.99
L11.down_proj                                             10.2x     12.4  0.99303     No       28.64
L11.gate_up_proj                                          10.2x     12.5  0.73289     No       10.65
L11.o_proj                                                10.2x     12.6  0.11764     No       13.61
L11.qkv_proj                                              10.2x     12.5  0.14783     No       10.54
L12.down_proj                                             10.2x     12.3  0.37954     No       49.44
L12.gate_up_proj                                          10.2x     12.5  0.90259     No       12.57
L12.o_proj                                                10.2x     12.6  0.07725     No        9.17
L12.qkv_proj                                              10.2x     12.5  0.82997     No        9.30
L13.down_proj                                             10.2x     12.4  0.77953     No       77.13
L13.gate_up_proj                                          10.2x     12.5  0.91259     No        8.23
L13.o_proj                                                10.2x     12.6  0.93115     No       26.20
L13.qkv_proj                                              10.2x     12.5  0.23555     No        8.24
L14.down_proj                                             10.2x     12.4  0.67280     No       24.25
L14.gate_up_proj                                          10.2x     12.5  0.79968     No        8.75
L14.o_proj                                                10.2x     12.6 -0.22228     No       11.92
L14.qkv_proj                                              10.2x     12.5  0.36072     No       17.55
L15.down_proj                                             10.2x     12.4  0.58103     No       57.11
L15.gate_up_proj                                          10.2x     12.5  0.84899     No       17.56
L15.o_proj                                                10.2x     12.6 -0.06962     No       11.58
L15.qkv_proj                                              10.2x     12.4 -0.44539     No       10.53
L16.down_proj                                             10.2x     12.4  0.79116     No       49.14
L16.gate_up_proj                                          10.2x     12.5  0.32151     No       11.30
L16.o_proj                                                10.2x     12.6  0.82699     No       11.40
L16.qkv_proj                                              10.2x     12.5 -0.78732     No       12.32
L17.down_proj                                             10.2x     12.4  0.67321     No       23.96
L17.gate_up_proj                                          10.2x     12.5  0.35107     No       20.52
L17.o_proj                                                10.2x     12.6  0.38681     No       40.67
L17.qkv_proj                                              10.2x     12.5  0.35267     No       11.70
L18.down_proj                                             10.2x     12.4  0.84495     No       24.63
L18.gate_up_proj                                          10.2x     12.5  0.64033     No        9.24
L18.o_proj                                                10.2x     12.6 -0.08993     No       10.18
L18.qkv_proj                                              10.2x     12.5 -0.27671     No        8.15
L19.down_proj                                             10.2x     12.4  0.57902     No       62.43
L19.gate_up_proj                                          10.2x     12.5  0.61042     No       18.37
L19.o_proj                                                10.2x     12.6 -0.06622     No       22.38
L19.qkv_proj                                              10.2x     12.4 -0.23828     No       10.14
L2.down_proj                                              10.2x     12.5  0.69922     No       28.12
L2.gate_up_proj                                           10.2x     12.5 -0.14426     No       12.14
L2.o_proj                                                 10.2x     12.5  0.85443     No       12.24
L2.qkv_proj                                               10.2x     12.1  0.61489     No       17.77
L20.down_proj                                             10.2x     12.4  0.92580     No       32.21
L20.gate_up_proj                                          10.2x     12.5  0.02835     No       15.20
L20.o_proj                                                10.2x     12.5  0.76599     No       10.45
L20.qkv_proj                                              10.2x     12.4  0.54684     No       21.02
L21.down_proj                                             10.2x     12.4  0.72447     No       27.36
L21.gate_up_proj                                          10.2x     12.5  0.68224     No       12.19
L21.o_proj                                                10.2x     12.5  0.21853     No        9.51
L21.qkv_proj                                              10.2x     12.5  0.66714     No        8.94
L22.down_proj                                             10.2x     12.5  0.91347     No       44.06
L22.gate_up_proj                                          10.2x     12.6 -0.16434     No       14.40
L22.o_proj                                                10.2x     12.6  0.62086     No       10.41
L22.qkv_proj                                              10.2x     12.4 -0.10366     No       24.74
L23.down_proj                                             10.2x     12.5  0.95439     No       23.56
L23.gate_up_proj                                          10.2x     12.6  0.66079     No       20.23
L23.o_proj                                                10.2x     12.6  0.52664     No       11.61
L23.qkv_proj                                              10.2x     12.4  0.64504     No       11.65
L24.down_proj                                             10.2x     12.5  0.43930     No       22.71
L24.gate_up_proj                                          10.2x     12.6  0.08355     No        8.36
L24.o_proj                                                10.2x     12.6  0.81028     No       10.24
L24.qkv_proj                                              10.2x     12.4  0.79584     No        7.85
L25.down_proj                                             10.2x     12.5  0.15226     No       63.06
L25.gate_up_proj                                          10.2x     12.6 -0.18259     No       12.14
L25.o_proj                                                10.2x     12.6 -0.35543     No        7.66
L25.qkv_proj                                              10.2x     12.4  0.97202     No        7.90
L26.down_proj                                             10.2x     12.5  0.70140     No       51.82
L26.gate_up_proj                                          10.2x     12.6 -0.48112     No        8.04
L26.o_proj                                                10.2x     12.6  0.95264     No        8.03
L26.qkv_proj                                              10.2x     12.4  0.74159     No        8.50
L27.down_proj                                             10.2x     12.5  0.85388     No       23.51
L27.gate_up_proj                                          10.2x     12.6  0.04731     No       10.47
L27.o_proj                                                10.2x     12.6  0.70711     No        8.63
L27.qkv_proj                                              10.2x     12.4  0.37724     No        8.32
L28.down_proj                                             10.2x     12.5  0.94944     No       23.64
L28.gate_up_proj                                          10.2x     12.5  0.76140     No       11.86
L28.o_proj                                                10.2x     12.6  0.49812     No       14.88
L28.qkv_proj                                              10.2x     12.4 -0.01632     No       19.32
L29.down_proj                                             10.2x     12.3  0.93235     No       45.49
L29.gate_up_proj                                          10.2x     12.4  0.58875     No       18.31
L29.o_proj                                                10.2x     12.6  0.26866     No       13.33
L29.qkv_proj                                              10.2x     12.4  0.66027     No       17.36
L3.down_proj                                              10.2x     12.4  0.33676     No       32.46
L3.gate_up_proj                                           10.2x     12.5  0.91667     No        9.37
L3.o_proj                                                 10.2x     12.5 -0.71968     No        8.00
L3.qkv_proj                                               10.2x     12.2  0.74911     No        8.16
L30.down_proj                                             10.2x     12.0  0.77926     No       29.24
L30.gate_up_proj                                          10.2x     12.5 -0.21431     No        7.35
L30.o_proj                                                10.2x     12.5  0.29397     No        8.85
L30.qkv_proj                                              10.2x     12.2  0.00519     No        8.76
L31.down_proj                                             10.2x     11.4  0.42204     No       56.63
L31.gate_up_proj                                          10.2x     12.6  0.11316     No        9.74
L31.o_proj                                                10.2x     12.6  0.13675     No       10.60
L31.qkv_proj                                              10.2x     12.0  0.61177     No        9.07
L4.down_proj                                              10.2x     12.4  0.70561     No       43.30
L4.gate_up_proj                                           10.2x     12.5  0.72174     No        7.42
L4.o_proj                                                 10.2x     12.5  0.11786     No       20.14
L4.qkv_proj                                               10.2x     12.5  0.41384     No       13.65
L5.down_proj                                              10.2x     12.4  0.82131     No       21.30
L5.gate_up_proj                                           10.2x     12.5  0.63039     No       11.16
L5.o_proj                                                 10.2x     12.5  0.72847     No       18.66
L5.qkv_proj                                               10.2x     12.5  0.26011     No       18.50
L6.down_proj                                              10.2x     12.3  0.85967     No       24.56
L6.gate_up_proj                                           10.2x     12.5  0.27250     No       10.45
L6.o_proj                                                 10.2x     12.5  0.63858     No       22.70
L6.qkv_proj                                               10.2x     12.4  0.13773     No       19.17
L7.down_proj                                              10.2x     12.3  0.70683     No       21.78
L7.gate_up_proj                                           10.2x     12.5 -0.19820     No       10.18
L7.o_proj                                                 10.2x     12.5  0.18936     No        8.58
L7.qkv_proj                                               10.2x     12.4  0.24862     No       14.96
L8.down_proj                                              10.2x     12.4  0.10900     No       28.87
L8.gate_up_proj                                           10.2x     12.5  0.59326     No       15.59
L8.o_proj                                                 10.2x     12.6  0.65763     No        9.86
L8.qkv_proj                                               10.2x     12.5 -0.25604     No        8.93
L9.down_proj                                              10.2x     12.4  0.73403     No       29.99
L9.gate_up_proj                                           10.2x     12.5 -0.02916     No       14.89
L9.o_proj                                                 10.2x     12.6  0.74300     No        9.54
L9.qkv_proj                                               10.2x     12.5 -0.06128     No       10.36

                                                  AVERAGE   10.2x     12.4  0.41865

── 2-bit quantization ──────────────────────────────────────────
Layer                                                    Ratio  SNR(dB)   Cosine  LUT-L2 LUT-mv(ms)
---------------------------------------------------------------------------------------------------
L0.down_proj                                              15.1x      4.8  0.83949     No       20.96
L0.gate_up_proj                                           15.1x      5.0  0.72450     No       11.26
L0.o_proj                                                 15.1x      5.0  0.72109     No        9.63
L0.qkv_proj                                               15.1x      1.7 -0.53513     No        9.96
L1.down_proj                                              15.1x      4.9  0.34958     No       18.92
L1.gate_up_proj                                           15.1x      5.0  0.79678     No        7.06
L1.o_proj                                                 15.1x      4.9  0.64937     No       12.32
L1.qkv_proj                                               15.1x      4.6  0.26196     No        7.88
L10.down_proj                                             15.1x      4.9  0.85620     No       20.51
L10.gate_up_proj                                          15.1x      5.0  0.40626     No        9.94
L10.o_proj                                                15.1x      5.1 -0.12862     No        6.65
L10.qkv_proj                                              15.1x      5.0 -0.78043     No        6.84
L11.down_proj                                             15.1x      4.9  0.97574     No       23.22
L11.gate_up_proj                                          15.1x      5.0  0.58297     No        6.98
L11.o_proj                                                15.1x      5.2  0.39382     No       13.98
L11.qkv_proj                                              15.1x      5.0  0.28495     No        7.25
L12.down_proj                                             15.1x      4.8  0.75327     No       20.08
L12.gate_up_proj                                          15.1x      5.0  0.91691     No        9.06
L12.o_proj                                                15.1x      5.1 -0.11128     No        8.62
L12.qkv_proj                                              15.1x      5.0  0.91591     No        7.92
L13.down_proj                                             15.1x      4.9  0.81913     No       20.85
L13.gate_up_proj                                          15.1x      5.1  0.90288     No        7.62
L13.o_proj                                                15.1x      5.1  0.87491     No        6.91
L13.qkv_proj                                              15.1x      5.0  0.41973     No        7.23
L14.down_proj                                             15.1x      5.0  0.76776     No       21.94
L14.gate_up_proj                                          15.1x      5.1  0.83867     No       20.23
L14.o_proj                                                15.1x      5.2 -0.05073     No       18.52
L14.qkv_proj                                              15.1x      5.0  0.52833     No        7.07
L15.down_proj                                             15.1x      5.0  0.83569     No       18.46
L15.gate_up_proj                                          15.1x      5.1  0.61312     No        7.78
L15.o_proj                                                15.1x      5.2 -0.10565     No        8.84
L15.qkv_proj                                              15.1x      5.0 -0.11734     No        6.34
L16.down_proj                                             15.1x      4.9  0.69592     No       20.26
L16.gate_up_proj                                          15.1x      5.1  0.17880     No        5.93
L16.o_proj                                                15.1x      5.1  0.91547     No       20.45
L16.qkv_proj                                              15.1x      5.0  0.35645     No        6.79
L17.down_proj                                             15.1x      4.9  0.72791     No       20.80
L17.gate_up_proj                                          15.1x      5.1  0.33373     No        6.41
L17.o_proj                                                15.1x      5.1  0.41943     No        7.57
L17.qkv_proj                                              15.1x      5.0  0.56900     No        8.65
L18.down_proj                                             15.1x      4.9  0.78819     No       21.46
L18.gate_up_proj                                          15.1x      5.1  0.71748     No        6.42
L18.o_proj                                                15.1x      5.1  0.19536     No        7.33
L18.qkv_proj                                              15.1x      5.0 -0.46020     No        6.21
L19.down_proj                                             15.1x      4.9  0.63021     No       18.01
L19.gate_up_proj                                          15.1x      5.1  0.78469     No        6.90
L19.o_proj                                                15.1x      5.1 -0.02076     No        9.47
L19.qkv_proj                                              15.1x      4.9  0.07145     No       16.14
L2.down_proj                                              15.1x      5.0  0.85128     No       20.23
L2.gate_up_proj                                           15.1x      5.0  0.30476     No       10.33
L2.o_proj                                                 15.1x      5.1  0.73641     No       14.69
L2.qkv_proj                                               15.1x      4.5  0.67298     No        9.79
L20.down_proj                                             15.1x      4.9  0.97096     No       21.01
L20.gate_up_proj                                          15.1x      5.1  0.35360     No        7.83
L20.o_proj                                                15.1x      5.1  0.86991     No        8.67
L20.qkv_proj                                              15.1x      5.0  0.75116     No        6.96
L21.down_proj                                             15.1x      5.0  0.82404     No       42.18
L21.gate_up_proj                                          15.1x      5.1  0.75370     No       11.22
L21.o_proj                                                15.1x      5.1  0.46839     No       15.29
L21.qkv_proj                                              15.1x      5.0  0.50316     No       14.65
L22.down_proj                                             15.1x      5.0  0.98601     No       20.84
L22.gate_up_proj                                          15.1x      5.1  0.06571     No        9.02
L22.o_proj                                                15.1x      5.1  0.73472     No        6.77
L22.qkv_proj                                              15.1x      4.9  0.02987     No        6.48
L23.down_proj                                             15.1x      5.1  0.90833     No       21.48
L23.gate_up_proj                                          15.1x      5.1  0.68088     No        6.33
L23.o_proj                                                15.1x      5.2  0.70219     No        8.45
L23.qkv_proj                                              15.1x      4.9  0.63838     No        6.56
L24.down_proj                                             15.1x      5.1  0.76388     No       22.42
L24.gate_up_proj                                          15.1x      5.1  0.28962     No        9.37
L24.o_proj                                                15.1x      5.1  0.77053     No        6.09
L24.qkv_proj                                              15.1x      4.9  0.68624     No        7.47
L25.down_proj                                             15.1x      5.1  0.19669     No       40.12
L25.gate_up_proj                                          15.1x      5.1 -0.42733     No        6.35
L25.o_proj                                                15.1x      5.1 -0.20663     No        6.25
L25.qkv_proj                                              15.1x      4.9  0.99831     No       13.35
L26.down_proj                                             15.1x      5.1  0.76675     No       26.80
L26.gate_up_proj                                          15.1x      5.1 -0.17716     No        7.63
L26.o_proj                                                15.1x      5.1  0.96204     No       16.06
L26.qkv_proj                                              15.1x      5.0  0.79404     No       10.83
L27.down_proj                                             15.1x      5.1  0.89674     No       16.99
L27.gate_up_proj                                          15.1x      5.1  0.12683     No       11.73
L27.o_proj                                                15.1x      5.2  0.67732     No        6.85
L27.qkv_proj                                              15.1x      5.0  0.39102     No        8.86
L28.down_proj                                             15.1x      5.0  0.90575     No       19.25
L28.gate_up_proj                                          15.1x      5.1  0.76058     No        7.12
L28.o_proj                                                15.1x      5.1  0.49066     No       16.02
L28.qkv_proj                                              15.1x      4.9  0.75629     No        6.96
L29.down_proj                                             15.1x      4.8  0.90342     No       26.30
L29.gate_up_proj                                          15.1x      4.9  0.67046     No        5.94
L29.o_proj                                                15.1x      5.1  0.05738     No        6.37
L29.qkv_proj                                              15.1x      4.9  0.83186     No        7.09
L3.down_proj                                              15.1x      4.9  0.38811     No       18.82
L3.gate_up_proj                                           15.1x      5.1  0.95005     No        7.59
L3.o_proj                                                 15.1x      5.1 -0.54361     No        5.91
L3.qkv_proj                                               15.1x      4.7  0.69614     No        8.29
L30.down_proj                                             15.1x      4.5  0.84900     No       18.01
L30.gate_up_proj                                          15.1x      5.0 -0.20775     No        6.29
L30.o_proj                                                15.1x      5.1  0.22587     No       10.63
L30.qkv_proj                                              15.1x      4.6  0.23345     No        6.98
L31.down_proj                                             15.1x      3.6  0.31818     No       18.18
L31.gate_up_proj                                          15.1x      5.1 -0.18256     No       10.55
L31.o_proj                                                15.1x      5.0  0.70014     No        6.34
L31.qkv_proj                                              15.1x      4.3  0.65545     No        5.90
L4.down_proj                                              15.1x      4.9  0.87453     No       24.02
L4.gate_up_proj                                           15.1x      5.1  0.82289     No        7.01
L4.o_proj                                                 15.1x      5.1  0.53013     No       12.09
L4.qkv_proj                                               15.1x      5.0  0.45552     No        6.73
L5.down_proj                                              15.1x      4.9  0.89082     No       42.77
L5.gate_up_proj                                           15.1x      5.0  0.67813     No        9.36
L5.o_proj                                                 15.1x      5.1  0.80657     No        9.15
L5.qkv_proj                                               15.1x      5.0 -0.18996     No        7.70
L6.down_proj                                              15.1x      4.8  0.97356     No       33.22
L6.gate_up_proj                                           15.1x      5.0  0.39686     No        7.78
L6.o_proj                                                 15.1x      5.1  0.70904     No        7.92
L6.qkv_proj                                               15.1x      4.9  0.65180     No        8.65
L7.down_proj                                              15.1x      4.8  0.74299     No       17.89
L7.gate_up_proj                                           15.1x      5.0 -0.37544     No        6.43
L7.o_proj                                                 15.1x      5.1  0.38572     No       10.95
L7.qkv_proj                                               15.1x      4.9  0.45831     No       10.31
L8.down_proj                                              15.1x      4.9  0.37772     No       20.49
L8.gate_up_proj                                           15.1x      5.1  0.59167     No       12.77
L8.o_proj                                                 15.1x      5.1  0.85024     No        7.04
L8.qkv_proj                                               15.1x      5.1 -0.20111     No        6.46
L9.down_proj                                              15.1x      4.9  0.96930     No       38.98
L9.gate_up_proj                                           15.1x      5.0  0.15306     No        9.51
L9.o_proj                                                 15.1x      5.1  0.73475     No        6.99
L9.qkv_proj                                               15.1x      5.0  0.34242     No        8.67

                                                  AVERAGE   15.1x      5.0  0.50396

================================================================================
AGGREGATE SUMMARY
================================================================================
Language model projection layers analysed: 128
Total FP16 weight size: 6.29 GB

  4-bit mixed precision:
    Compression ratio  : 7.76x
    Compressed size    : 0.81 GB
    Average SNR        : 19.1 dB
    Average cosine sim : 0.390802
    Total LUT build    : 269.8s

  3-bit mixed precision:
    Compression ratio  : 10.24x
    Compressed size    : 0.61 GB
    Average SNR        : 12.4 dB
    Average cosine sim : 0.418652
    Total LUT build    : 70.2s

  2-bit mixed precision:
    Compression ratio  : 15.06x
    Compressed size    : 0.42 GB
    Average SNR        : 5.0 dB
    Average cosine sim : 0.503959
    Total LUT build    : 19.2s


Backend: AVX2

Layer 0 down_proj:
  [4b] ratio=7.8x SNR=19.0dB cosine=0.84328 lut_build=3751ms lut_mv=21ms
  [3b] ratio=10.2x SNR=12.3dB cosine=0.87824 lut_build=1017ms lut_mv=28ms
  [2b] ratio=15.1x SNR=4.8dB cosine=0.83949 lut_build=337ms lut_mv=21ms

Layer 0 gate_up_proj:
  [4b] ratio=7.8x SNR=19.1dB cosine=0.75356 lut_build=1329ms lut_mv=8ms
  [3b] ratio=10.2x SNR=12.5dB cosine=0.76080 lut_build=316ms lut_mv=9ms
  [2b] ratio=15.1x SNR=5.0dB cosine=0.72450 lut_build=80ms lut_mv=11ms

Layer 0 o_proj:
  [4b] ratio=7.8x SNR=19.1dB cosine=0.74636 lut_build=1367ms lut_mv=7ms
  [3b] ratio=10.2x SNR=12.5dB cosine=0.76952 lut_build=316ms lut_mv=16ms
  [2b] ratio=15.1x SNR=5.0dB cosine=0.72109 lut_build=106ms lut_mv=10ms

Layer 0 qkv_proj:
  [4b] ratio=7.8x SNR=16.8dB cosine=-0.11162 lut_build=1302ms lut_mv=9ms
  [3b] ratio=10.2x SNR=10.1dB cosine=-0.24868 lut_build=280ms lut_mv=9ms
  [2b] ratio=15.1x SNR=1.7dB cosine=-0.53513 lut_build=97ms lut_mv=10ms

Layer 1 down_proj:
  [4b] ratio=7.8x SNR=19.0dB cosine=0.29435 lut_build=3759ms lut_mv=27ms
  [3b] ratio=10.2x SNR=12.4dB cosine=0.28633 lut_build=1110ms lut_mv=34ms
  [2b] ratio=15.1x SNR=4.9dB cosine=0.34958 lut_build=309ms lut_mv=19ms

Layer 1 gate_up_proj:
  [4b] ratio=7.8x SNR=19.1dB cosine=0.73417 lut_build=1516ms lut_mv=20ms
  [3b] ratio=10.2x SNR=12.5dB cosine=0.74752 lut_build=528ms lut_mv=29ms
